ExposeId;71840808;96643089;49533823;108518680;108485473;108485141;108456019;108436116;108247158;108244278;108059592;108055462;108043926;107693966;101425416;93625205;92689753;87740017;55721310;51430475
Url;https://www.immobilienscout24.de/expose/71840808;https://www.immobilienscout24.de/expose/96643089;https://www.immobilienscout24.de/expose/49533823;https://www.immobilienscout24.de/expose/108518680;https://www.immobilienscout24.de/expose/108485473;https://www.immobilienscout24.de/expose/108485141;https://www.immobilienscout24.de/expose/108456019;https://www.immobilienscout24.de/expose/108436116;https://www.immobilienscout24.de/expose/108247158;https://www.immobilienscout24.de/expose/108244278;https://www.immobilienscout24.de/expose/108059592;https://www.immobilienscout24.de/expose/108055462;https://www.immobilienscout24.de/expose/108043926;https://www.immobilienscout24.de/expose/107693966;https://www.immobilienscout24.de/expose/101425416;https://www.immobilienscout24.de/expose/93625205;https://www.immobilienscout24.de/expose/92689753;https://www.immobilienscout24.de/expose/87740017;https://www.immobilienscout24.de/expose/55721310;https://www.immobilienscout24.de/expose/51430475
Addresse;85622 Feldkirchen;85570 Markt Schwaben;85609 Aschheim;81825 München;85586 Poing;81737 München;81829 München;85635 Höhenkirchen;81549 München;82024 Taufkirchen;85570 Markt Schwaben;85570 Markt Schwaben;85551 Pöring;85591 Vaterstetten;85635 Höhenkirchen-Siegertsbrunn;82024 Taufkirchen;81825 München;85570 Markt Schwaben;81371 München;85570 Markt Schwaben
MapsUrl;https://www.google.de/maps/place/85622+Feldkirchen/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85570+Markt+Schwaben/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85609+Aschheim/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/81825+München/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85586+Poing/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/81737+München/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/81829+München/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85635+Höhenkirchen/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/81549+München/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/82024+Taufkirchen/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85570+Markt+Schwaben/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85570+Markt+Schwaben/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85551+Pöring/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85591+Vaterstetten/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85635+Höhenkirchen-Siegertsbrunn/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/82024+Taufkirchen/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/81825+München/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85570+Markt+Schwaben/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/81371+München/@48.0788321,11.5142251,11.5z;https://www.google.de/maps/place/85570+Markt+Schwaben/@48.0788321,11.5142251,11.5z
Kaltmiete;800;800;750;700;790;690;680;680;733;695;18,;18,;775;765;690;795;795;529;770;670
Warmmiete;940;950;750;850;920;840;710;890;950;880;18,;18,;920;905;800;925;870;679;1.0;860
Zimmer;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Fläche;59;80;42;54;63;54;52;59,5;48,09;46,5;71,85;50;62;48,33;52;51;58;46;52,07;53,3
Etage;0/2;2/2;None;1/2;3/3;2/6;0/2;2/3;2;0/4;None;None;0/2;2/3;1/2;None;None;2/2;4/4;2/3
Grundriss;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
BezugsFrei; 01.01.2019 ; 01.03.2019 ; 1.11.2018 ; 01.01.2019 ; 01.01.2019 ; 01.02.2019 ; 01.01.2019 ; 01.01.2019 ; sofort ; 15.12.2018 ; Ende März 2019 ; Ende März 2019 ; 01.01.2019 ; 01.01.2019 ; 01.01.2019 ; 1.2.2019 ; nach Vereinbarung ; 01.02.2018 ; 01.01.2019 ; 01.02.2019 
